ISIN,Name,Listed_In,BSE_Symbol,NSE_Symbol,search query
IN9175A01010,JAIN IRRIGATION SYSTEMS LTD.,"BSE, NSE",JISLDVREQS,JISLDVREQS,JAIN IRRIGATION SYSTEMS LTD. investor relations
IN9623B01058,Future Enterprises Limited,NSE,,FELDVR,Future Enterprises Limited investor relations
INE001B01026,KRBL LTD.,"BSE, NSE",KRBL,KRBL,KRBL LTD. investor relations
INE001E01012,PREMCO GLOBAL LTD.,BSE,PREMCO,,PREMCO GLOBAL LTD. investor relations
INE001F01019,MODERN STEELS LTD.,BSE,MDRNSTL,,MODERN STEELS LTD. investor relations
INE001O01029,RISA INTERNATIONAL LTD.,BSE,RISAINTL,,RISA INTERNATIONAL LTD. investor relations
INE002A01018,RELIANCE INDUSTRIES LTD.,"BSE, NSE",RELIANCE,RELIANCE,RELIANCE INDUSTRIES LTD. investor relations
INE002B01016,SOFTSOL INDIA LTD.,BSE,SOFTSOL,,SOFTSOL INDIA LTD. investor relations
INE002L01015,SJVN LTD,"BSE, NSE",SJVN,SJVN,SJVN LTD investor relations
INE002S01010,Mahanagar Gas Limited,"BSE, NSE",MGL,MGL,Mahanagar Gas Limited investor relations
INE003A01024,SIEMENS LTD.,"BSE, NSE",SIEMENS,SIEMENS,SIEMENS LTD. investor relations
INE003B01014,INTER STATE OIL CARRIER LTD.,BSE,INTSTOIL,,INTER STATE OIL CARRIER LTD. investor relations
INE003F01015,MULLER & PHIPPS (INDIA) LTD.,BSE,MULLER,,MULLER & PHIPPS (INDIA) LTD. investor relations
INE004A01022,Protean eGov Technologies Limi,"BSE, NSE",PROTEAN,PROTEAN,Protean eGov Technologies Limi investor relations
INE004C01028,GUJARAT COTEX LTD.,BSE,GUJCOTEX,,GUJARAT COTEX LTD. investor relations
INE005B01027,AVANTEL LTD.,"BSE, NSE",AVANTEL,AVANTEL,AVANTEL LTD. investor relations
INE005C01017,RTS POWER CORPORATION LTD.,BSE,RTSPOWR,,RTS POWER CORPORATION LTD. investor relations
INE005E01013,Ekansh Concepts Limited,BSE,EKANSH,,Ekansh Concepts Limited investor relations
INE005G01026,Deep Diamond India Limited,BSE,DDIL,,Deep Diamond India Limited investor relations
INE005I01014,AMD INDUSTRIES LTD.,"BSE, NSE",AMDIND,AMDIND,AMD INDUSTRIES LTD. investor relations
INE006C01015,K.Z.LEASING & FINANCE LTD.,BSE,KZLFIN,,K.Z.LEASING & FINANCE LTD. investor relations
INE006F01018,NB FOOTWEAR LTD.,BSE,NBFOOT,,NB FOOTWEAR LTD. investor relations
INE006I01046,ASTRAL LIMITED,"BSE, NSE",ASTRAL,ASTRAL,ASTRAL LIMITED investor relations
INE006Z01016,Arvee Laboratories (India) Limited,NSE,,ARVEE,Arvee Laboratories (India) Limited investor relations
INE007A01025,CRISIL LTD.,"BSE, NSE",CRISIL,CRISIL,CRISIL LTD. investor relations
INE007B01023,Geojit Financial Services Limi,"BSE, NSE",GEOJITFSL,GEOJITFSL,Geojit Financial Services Limi investor relations
INE007C01021,INDRAYANI BIOTECH LTD.,BSE,INDRANIB,,INDRAYANI BIOTECH LTD. investor relations
INE007N01010,Fedbank Financial Services Lim,"BSE, NSE",FEDFINA,FEDFINA,Fedbank Financial Services Lim investor relations
